,Gender,Age,Education Background,Location where you live?,SingleOrMarried,How many people do you live with excluding yourself?,"If married, how many kids do you have?",Do you have any kids below 5 years old?,Are you currently employed?,How many hours on average do you work at your job?,On a scale of 1-10 how demanding is your job?,On a scale 1 to 10 how social are you?,How many times do you go out for social activities during the week?,What do you wish to ultimately accomplish when starting an online course? Check all that apply.,How many online MOOC classes have you registered for so far?,AVG Class registered,Out of the MOOC classes that you have registered for how many of them have you completed?,Avg Class Completed,Completion Percent, Out of the MOOC classes that you have registered for how many of them have you dropped?,Avg Class Dropped,Drop Percent,What pushed you to complete the courses? Check all that apply.,How much of the online content do you watch or read for the courses that you completed?,How much of the online content do you watch or read for the courses that you dropped?,Select a reason below as to why an online course was not completed/dropped? Check all that apply.,How many exercises\assessments did you complete for the courses that you completed?,How many exercises\assessments did you complete for the courses that you dropped?,"For the completed courses, how many times did you visit the online forum to socialize with students in a given week?",Avg Online forum Visit for Completed Class,"For the dropped courses, how many times did you visit the online forum to socialize with students in a given week?",Avg Online forum visit for dropped classes,Do you value student interaction as an important learning component for MOOC courses?,Do you think MOOC classes provide an opportunity to learn from other students?,"If yes to above question, do you value that opportunity?","Have you stayed in touch with any students that you met in forum discussions after the class is over?If yes, whats the average number of students? ","Have you stayed in touch with any students that you worked together in a class (project team mates) after the class is over? If yes, whats the average number of students?",Do you value MOOC classes to be up to date with developments in the related course field?,"Do you value a MOOC instructor's ability to provide timely and helpful feedback on assignments, exams or projects?",Student courses completion is dependent upon instructor/TA ability to help individual learn the course material?,Student courses completion is dependent upon the instructor/TA's contribution to the discussion forums?,Student courses completion is dependent upon how interesting and simulating the course assignments are?,Do you feel that group work can contribute significantly to completing or dropping MOOC courses?,Please provide any feedback to help us better this survey.
16,Male,35 to 44,Undregraduate,Suburban,Married,5+,3+,Yes,Yes,>45 but <=50,10,4,0,"New Job, Gain a degree, Knowledge",16-20,18,1-5,3,16.66666667,1-5,3,16.66666667,Pursuing degree,All,25,"Time, Didn't plan to complete",100,50,5-10,7.5,5-10,7.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Strongly agree,Strongly agree,Neutral,Strongly Agree,"I'm sure it would be hard to capture for a survey, but I started many MOOC courses never intending to complete them. I was just interested in the subject matter. Additionally, some of the courses that I didn't intend to drop I didn't complete for various reasons. I tried to answer all questions with the most common reason since I know that will impact your results."
17,Male,45 to 54,Graduate,Suburban,Married,<=5,2,No,Yes,40,8,2,0,Knowledge,1-5,3,1-5,3,100,1-5,3,100,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses",All,100,Underprepared,100,100,0,0,0,0,No,Yes,No,0-5,0-5,Yes,Yes,Strongly agree,Strongly agree,Strongly Agree,Agree,"There might be value in forcing people to rank the factors for success such as picking what is most important, next important, and so forth, so you can get a stronger sense of what factors matter the most."
18,Male,> 55,Graduate,Suburban,Married,1,0,No,Yes,>40 but <=45,8,3,0,Knowledge,6-10,8,6-10,8,100,1-5,3,37.5,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses",Most,75,"Time, Rejection (unsolved assignment problems), Depression",100,50,10+,10,10+,10,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Agree,Agree,Strongly Agree,Neutral,None that I can think of right now.  Good luck with your project !
19,Male,25 to 34,Graduate,Suburban,Married,1,0,No,Yes,40,7,5,1,"New Job, Gain a degree, Knowledge",1-5,3,1-5,3,100,0,0,0,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined",Most,75,Time,100,,1-5,2.5,,,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Agree,Agree,Strongly Agree,Agree,
20,Male,25 to 34,Graduate,Urban/City,Married,1,0,No,Yes,40,9,6,2,"Gain a degree, Knowledge",6-10,8,1-5,3,37.5,1-5,3,37.5,"Projects/assignments were clearly defined, I enjoy taking online courses",Around Half,50,Time,75,25,1-5,2.5,1-5,2.5,Yes,No,,0-5,0-5,Yes,Yes,Agree,Agree,Strongly Agree,Agree,Good survey
21,Female,25 to 34,Undregraduate,Suburban,Married,1,0,No,Yes,>40 but <=45,8,7,1,Knowledge,20+,20,11-15,13,65,16-20,18,90,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses",All,75,"Time, Rejection (unsolved assignment problems)",100,50,1-5,2.5,1-5,2.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Neutral,Neutral,Strongly Agree,Neutral,"Maybe add some free response questions. There are some questions where I feel like I want to discuss my opinion, but there is no venue to do so."
22,Male,25 to 34,PHD,Urban/City,Single,0,,No,Yes,>40 but <=45,5,4,1,Knowledge,1-5,3,1-5,3,100,1-5,3,100,Projects/assignments were clearly defined,Most,25,"Rejection (unsolved assignment problems), Loneliness",75,25,0,0,0,0,No,No,,0-5,0-5,No,No,Agree,Disagree,Agree,Neutral,
23,Female,18 to 24,Undregraduate,Suburban,Single,1,,No,Yes,>45 but <=50,7,3,1,"Gain a degree, Knowledge, Mental Challenge",1-5,3,1-5,3,100,1-5,3,100,"The structure of the learning modules were well prepared and organized, I enjoy taking online courses",Most,50,Time,100,25,1-5,2.5,1-5,2.5,Yes,No,,0-5,0-5,Yes,Yes,Neutral,Agree,Agree,Agree,"People can have children when they aren't married. :) Otherwise, it was well laid out."
24,Male,18 to 24,Undregraduate,Suburban,Single,0,,No,Yes,40,6,7,<=5,Knowledge,1-5,3,1-5,3,100,1-5,3,100,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses",Most,75,Time,100,25,5-10,7.5,5-10,7.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Strongly agree,Agree,Agree,Agree,
25,Male,> 55,Graduate,Suburban,Married,1,2,No,Yes,55+,7,5,0,Knowledge,16-20,18,11-15,13,72.22222222,1-5,3,16.66666667,I wanted to learn what was being taught.  I had a use for what was being taught.,All,25,"Time, It wasn't meeting needs.",100,25,1-5,2.5,0,0,No,Yes,No,0-5,0-5,Yes,No,Strongly disagree,Neutral,Agree,Agree,"I distinctly remember a feeling of exasperation with some courses when they seemed like they weren't helping solve any problem I wanted to address, or when the material was unclear."
26,Male,25 to 34,Undregraduate,Urban/City,Married,1,0,No,Yes,>40 but <=45,5,2,1,"New Job, Gain a degree",1-5,3,0,0,0,1-5,3,100,,,25,"Time, Boredom",,25,,,0,0,No,No,,0-5,0-5,Yes,Yes,Agree,Disagree,Strongly Agree,Strongly Agree,"Just tweak some of the language to make things clearer. For instance, I feel like group work negatively affects completion rate (i.e., group work leads to more people failing to complete). So in that sense, I feel like it contributes to dropping a course. I selected Strongly Agree for #36. But I was confused if by selecting that I was indicating that I felt it contributed to completing the course. Get it? (My explanation was confusing, sorry.)"
27,Male,45 to 54,Undregraduate,Urban/City,Married,<=5,2,No,Yes,>45 but <=50,7,6,0,Knowledge,11-15,13,11-15,13,100,1-5,3,23.07692308,"The structure of the learning modules were well prepared and organized, I enjoy taking online courses",Most,75,Course not good,100,100,1-5,2.5,1-5,2.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Neutral,Neutral,Agree,Agree,Nice work
28,Male,25 to 34,Undregraduate,Urban/City,Married,<=5,3,Yes,Yes,>45 but <=50,7,7,0,"Gain a degree, Knowledge",6-10,8,6-10,8,100,0,0,0,"The structure of the learning modules were well prepared and organized, I enjoy taking online courses",Around Half,,,100,,0,0,,,No,No,,0-5,0-5,Yes,Yes,Agree,Agree,Agree,Disagree,A lot of the content assumed some drop outs which isn't always the case. 
29,Male,25 to 34,Undregraduate,Suburban,Married,1,0,No,Yes,40,8,6,1,"Gain a degree, Knowledge",1-5,3,1-5,3,100,0,0,0,"The structure of the learning modules were well prepared and organized, I knew what was expected of me at all times",Most,,,100,,1-5,2.5,,,No,Yes,No,0-5,0-5,Yes,Yes,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,I like that you've added an N/A answer to most of the questions.
30,Female,35 to 44,Graduate,Suburban,Married,2,1,Yes,Yes,>40 but <=45,8,4,0,Gain a degree,6-10,8,6-10,8,100,0,0,0,I knew what was expected of me at all times,Most,,,100,,1-5,2.5,,,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Strongly agree,Strongly agree,Neutral,Disagree,na
31,Male,35 to 44,Graduate,Urban/City,Married,1,0,No,Yes,55+,8,5,1,Knowledge,11-15,13,6-10,8,61.53846154,6-10,8,61.53846154,"The structure of the learning modules were well prepared and organized, I knew what was expected of me at all times, I enjoy taking online courses",Most,75,Time,100,25,0,0,0,0,No,Yes,Yes,0-5,0-5,Yes,Yes,Strongly agree,Strongly agree,Strongly Agree,Disagree,I think the reasons of dropping can be a lot.  Its difficult to get a clear understanding with just few options.
32,Male,45 to 54,Undregraduate,Urban/City,Single,0,0,No,Yes,<40,7,6,2,Knowledge,20+,20,20+,20,100,1-5,3,15,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses",All,50,Time,50,50,5-10,7.5,5-10,7.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Agree,Strongly agree,Strongly Agree,Agree,"I believe interaction with other students should be encouraged, but never mandatory. "
33,Male,25 to 34,Undregraduate,Suburban,Single,1,,No,Yes,40,8,8,<=5,Knowledge,6-10,8,0,0,0,6-10,8,100,,,25,Time,,50,,,0,0,No,No,,,,,No,,,Neutral,Strongly Disagree,Good survey
34,Male,35 to 44,Graduate,Suburban,Married,2,1,Yes,Yes,>45 but <=50,8,4,1,Knowledge,0,0,0,0,,0,0,,,,,,,,,,,,Yes,No,,0-5,0-5,No,No,Disagree,Disagree,Strongly Agree,Disagree,Nice survey
35,Female,35 to 44,PHD,Urban/City,Married,<=5,2,Yes,Yes,40,6,7,1,New Job,6-10,8,6-10,8,100,1-5,3,37.5,I knew what was expected of me at all times,Most,75,Time,25,None,1-5,2.5,5-10,7.5,No,No,Yes,0-5,10-20,Yes,No,Strongly agree,Strongly agree,Neutral,Agree,this is a very good survey
36,Male,25 to 34,Undregraduate,Urban/City,Single,2,,No,Yes,<40,6,3,1,"New Job, Gain a degree, Knowledge",11-15,13,11-15,13,100,0,0,0,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses",All,,,100,,1-5,2.5,,,Yes,"Unfortunately, very rarely.",Yes,0-5,0-5,Yes,Yes,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,"Regarding the educational background, I'd suggest asking what is the highest level of studies achieved. It's less ambiguous. Good survey anyway."
37,Female,35 to 44,Undregraduate,Urban/City,Married,2,0,No,Yes,55+,9,4,0,Knowledge,6-10,8,6-10,8,100,0,0,0,I enjoy taking online courses,All,,,100,,5-10,7.5,,,No,Yes,Yes,0-5,0-5,Yes,Yes,Strongly agree,Agree,Strongly Agree,Neutral,I think some of these answers depend on the course
38,Male,25 to 34,Undregraduate,Suburban,Married,1,,No,Yes,40,7,3,1,"Gain a degree, Knowledge",1-5,3,1-5,3,100,0,0,0,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses",Most,,,100,,1-5,2.5,,,No,"Maybe, but its typically difficult to achieve.",No,None,None,No,Yes,Agree,Agree,Agree,Strongly Agree,Question # 36 should be split into two questions in order to assess the impact on completion and dropping independently.
39,Male,25 to 34,Graduate,Country,Single,0,,No,No,<40,1,1,0,"New Job, Gain a degree",11-15,13,1-5,3,23.07692308,0,0,0,,,,"Rejection (unsolved assignment problems), Loneliness, Depression",75,75,1-5,2.5,1-5,2.5,No,Yes,No,0-5,0-5,No,Yes,Strongly disagree,Agree,Strongly Agree,Agree,It loks good. there were no confusing questions
40,Male,25 to 34,Undregraduate,Suburban,Single,<=5,,No,Yes,>40 but <=45,9,6,2,"Gain a degree, Knowledge",1-5,3,1-5,3,100,0,0,0,Projects/assignments were clearly defined,All,100,Time,100,50,5-10,7.5,5-10,7.5,Yes,Yes,Yes,5-10,5-10,Yes,Yes,Agree,Agree,Agree,Agree,
41,Female,25 to 34,Undregraduate,Urban/City,Single,0,,No,Yes,>40 but <=45,8,7,<=5,"Gain a degree, Knowledge",1-5,3,1-5,3,100,1-5,3,100,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined",Most,75,Time,100,None,10+,10,5-10,7.5,Yes,Yes,Yes,5-10,5-10,Yes,Yes,Agree,Agree,Agree,Agree,Feels like some of questions were repeating
42,Male,25 to 34,Graduate,Suburban,Married,1,,No,Yes,>45 but <=50,10,10,<=5,Knowledge,6-10,8,6-10,8,100,1-5,3,37.5,The course material was interesting to me,All,100,Time,100,100,10+,10,10+,10,Yes,Yes,Yes,0-5,5-10,Yes,Yes,Neutral,Agree,Strongly Agree,Neutral,
43,Male,45 to 54,Graduate,Urban/City,Married,<=5,2,No,Yes,>40 but <=45,8,8,2,"Gain a degree, Knowledge",6-10,8,6-10,8,100,0,0,0,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses",All,,Time,100,,1-5,2.5,,,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Looks good - no changes
44,Male,25 to 34,Undregraduate,Suburban,Married,2,0,No,Yes,<40,8,5,1,"New Job, Gain a degree, Knowledge",6-10,8,1-5,3,37.5,1-5,3,37.5,"Projects/assignments were clearly defined, I knew what was expected of me at all times",Most,75,"Time, Rejection (unsolved assignment problems), Loneliness, Depression",100,50,5-10,7.5,1-5,2.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Agree,Neutral,Agree,Agree,None
45,Male,18 to 24,Graduate,Suburban,Single,<=5,,No,Yes,>40 but <=45,6,3,0,"New Job, Gain a degree, Knowledge",1-5,3,1-5,3,100,1-5,3,100,Projects/assignments were clearly defined,All,75,Time,100,50,1-5,2.5,1-5,2.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Agree,Agree,Agree,Disagree,
46,Female,25 to 34,Undregraduate,Urban/City,Married,1,0,No,Yes,>40 but <=45,6,8,<=5,Knowledge,6-10,8,1-5,3,37.5,1-5,3,37.5,"The structure of the learning modules were well prepared and organized, I enjoy taking online courses",Some,75,Time,50,25,1-5,2.5,1-5,2.5,No,No,,0-5,0-5,Yes,Yes,Agree,Agree,Strongly Agree,Neutral,survey was good. 
47,Female,25 to 34,Graduate,Urban/City,Married,1,0,No,Yes,>40 but <=45,7,8,<=5,"New Job, Knowledge",6-10,8,1-5,3,37.5,1-5,3,37.5,"The structure of the learning modules were well prepared and organized, I enjoy taking online courses",Most,75,"Time, Rejection (unsolved assignment problems)",75,25,1-5,2.5,1-5,2.5,No,No,,0-5,0-5,Yes,Yes,Agree,Neutral,Agree,Neutral,could have had better deliniation on the number of classes completed/dropped. question 36 was kind of ambiguous
48,Male,35 to 44,Undregraduate,Urban/City,Single,0,,No,Yes,>40 but <=45,7,6,0,Knowledge,11-15,13,1-5,3,23.07692308,6-10,8,61.53846154,Projects/assignments were clearly defined,Around Half,50,,75,25,1-5,2.5,0,0,Yes,No,,0-5,0-5,Yes,Yes,Agree,Strongly agree,Strongly Agree,Strongly Agree,Change question 35 it says simulating instead of stimulating.
49,Male,35 to 44,PHD,Urban/City,Married,2,1,Yes,Yes,40,10,10,2,New Job,1-5,3,1-5,3,100,6-10,8,266.6666667,Projects/assignments were clearly defined,Most,100,Time,25,25,1-5,2.5,1-5,2.5,No,Yes,Yes,5-10,5-10,Yes,Yes,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,not too much
50,Male,45 to 54,Undregraduate,Urban/City,Married,1,2,No,Yes,>40 but <=45,7,3,1,"Gain a degree, Knowledge",1-5,3,1-5,3,100,1-5,3,100,"Projects/assignments were clearly defined, I knew what was expected of me at all times, Interesting material",Most,25,"Time, Uninteresting material",100,50,5-10,7.5,5-10,7.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Question #3 has a typo in Undergrad
51,Male,35 to 44,Graduate,Urban/City,Married,2,1,No,Yes,>40 but <=45,8,8,1,Knowledge,6-10,8,1-5,3,37.5,1-5,3,37.5,I enjoy taking online courses,All,100,,100,100,5-10,7.5,5-10,7.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Agree,Agree,Agree,Agree,Good job
52,Male,25 to 34,Undergraduate,Suburban,Single,1,,No,Yes,40,7,6,1,"New Job, Gain a degree, Knowledge",16-20,18,11-15,13,72.22222222,1-5,3,16.66666667,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses, Interesting material",All,75,"Time, Got tired with the material",100,100,,,,,,Somewhat but not very much,,0-5,0-5,Yes,Yes,Agree,Agree,Strongly Agree,Strongly Agree,
53,Male,25 to 34,Graduate,Urban/City,Married,1,0,No,Yes,>40 but <=45,8,6,2,Knowledge,6-10,8,1-5,3,37.5,1-5,3,37.5,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I enjoy taking online courses",Most,25,Time,100,None,1-5,2.5,0,0,No,Yes,Yes,0-5,0-5,Yes,Yes,Agree,Agree,Agree,Agree,Make it shorter
54,Male,25 to 34,Graduate,Suburban,Married,<=5,3,Yes,Yes,40,8,7,1,Gain a degree,1-5,3,1-5,3,100,0,0,0,Projects/assignments were clearly defined,All,None,Time,100,,1-5,2.5,1-5,2.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,solid questions
55,Male,35 to 44,PHD,Urban/City,Married,2,1,No,Yes,40,5,2,0,"New Job, Gain a degree, Knowledge",6-10,8,0,0,0,6-10,8,100,The structure of the learning modules were well prepared and organized,Some,25,Time,25,25,0,0,0,0,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Agree,Agree,Agree,Agree,"add some questions about fees of MOOC. If students pay fee for a course, the chance to drop that course will be lower than those completely free"
56,Male,25 to 34,Undergraduate,Suburban,Married,1,0,No,Yes,>40 but <=45,7,4,1,Knowledge,11-15,13,6-10,8,61.53846154,1-5,3,23.07692308,"Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses",Most,25,Time,100,25,1-5,2.5,1-5,2.5,No,Yes,Yes,0-5,0-5,Yes,Yes,Strongly agree,Agree,Agree,Neutral,
57,Male,25 to 34,Undergraduate,Urban/City,Married,1,0,No,Yes,40,8,3,1,Knowledge,11-15,13,11-15,13,100,1-5,3,23.07692308,I enjoy taking online courses,Most,75,Time,100,25,5-10,7.5,0,0,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Neutral,Neutral,Agree,Neutral,
58,Male,25 to 34,Undergraduate,Suburban,Married,1,0,No,Yes,40,7,5,2,"New Job, Gain a degree, Knowledge",1-5,3,1-5,3,100,1-5,3,100,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses",All,,,100,,1-5,2.5,,,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Strongly agree,Strongly agree,Strongly Agree,Agree,None that I can think of right now.
